family,genus,species,lme,uni,mergeLME,fao,level,FB_E_Code,source,type.length,taxo,b,a
Rajidae,Raja,clavata,22,Rajidae Raja clavata 22,22,27,species,139,fb,TL,spe-LME,3.214999994,0.00281
Rajidae,Raja,clavata,21,Rajidae Raja clavata 21,22,27,species,139,fb,TL,spe-LME,3.214999994,0.00281
Congridae,Conger,conger,22,Congridae Conger conger 22,22,27,species,139,fb,TL,spe-LME,3.192999999,0.001573333
Myctophidae,Lampanyctus,crocodilus,22,Myctophidae Lampanyctus crocodilus 22,22,27,species,230,fb,TL,spe-LME,2.980000019,0.0051
Triglidae,Chelidonichthys,cuculus,22,Triglidae Chelidonichthys cuculus 22,22,27,species,139,fb,TL,spe-LME,3.226666609,0.004916667
Pleuronectidae,Glyptocephalus,cynoglossus,22,Pleuronectidae Glyptocephalus cynoglossus 22,22,27,species,139,fb,TL,spe-LME,3.235000014,0.00275
Pleuronectidae,Glyptocephalus,cynoglossus,21,Pleuronectidae Glyptocephalus cynoglossus 21,22,27,species,139,fb,TL,spe-LME,3.235000014,0.00275
Pleuronectidae,Glyptocephalus,cynoglossus,20,Pleuronectidae Glyptocephalus cynoglossus 20,22,27,species,139,fb,TL,spe-LME,3.235000014,0.00275
Sebastidae,Helicolenus,dactylopterus,22,Sebastidae Helicolenus dactylopterus 22,22,27,species,139,fb,TL,spe-FAO,3.100750029,0.0112
Sebastidae,Helicolenus,dactylopterus,21,Sebastidae Helicolenus dactylopterus 21,22,27,species,139,fb,TL,spe-FAO,3.100750029,0.0112
Sebastidae,Helicolenus,dactylopterus,20,Sebastidae Helicolenus dactylopterus 20,22,27,species,139,fb,TL,spe-FAO,3.100750029,0.0112
Agonidae,Leptagonus,decagonus,20,Agonidae Leptagonus decagonus 20,22,27,species,139,fb,TL,spe-Ocean,3,0.003487152
Agonidae,Leptagonus,decagonus,22,Agonidae Leptagonus decagonus 22,22,27,species,139,fb,TL,spe-Ocean,3,0.003487152
Agonidae,Leptagonus,decagonus,21,Agonidae Leptagonus decagonus 21,22,27,species,139,fb,TL,spe-Ocean,3,0.003487152
Anarhichadidae,Anarhichas,denticulatus,20,Anarhichadidae Anarhichas denticulatus 20,22,27,species,232,fb,TL,gen-FAO,3.159666697,0.0051
Anarhichadidae,Anarhichas,denticulatus,22,Anarhichadidae Anarhichas denticulatus 22,22,27,species,232,fb,TL,gen-FAO,3.159666697,0.0051
Anarhichadidae,Anarhichas,denticulatus,21,Anarhichadidae Anarhichas denticulatus 21,22,27,species,232,fb,TL,gen-FAO,3.159666697,0.0051
Trachinidae,Trachinus,draco,22,Trachinidae Trachinus draco 22,22,27,species,139,fb,TL,spe-LME,2.972000003,0.007135
Carapidae,Echiodon,drummondii,21,Carapidae Echiodon drummondii 21,22,27,species,139,fb,TL,spe-Ocean,3,0.000592593
Carapidae,Echiodon,drummondii,22,Carapidae Echiodon drummondii 22,22,27,species,139,fb,TL,spe-Ocean,3,0.000592593
Carapidae,Echiodon,drummondii,20,Carapidae Echiodon drummondii 20,22,27,species,139,fb,TL,spe-Ocean,3,0.000592593
Lotidae,Molva,dypterygia,20,Lotidae Molva dypterygia 20,22,27,species,139,fb,TL,spe-Ocean,3.148999929,0.00191
Lotidae,Molva,dypterygia,22,Lotidae Molva dypterygia 22,22,27,species,139,fb,TL,spe-Ocean,3.148999929,0.00191
Lotidae,Molva,dypterygia,21,Lotidae Molva dypterygia 21,22,27,species,139,fb,TL,spe-Ocean,3.148999929,0.00191
Engraulidae,Engraulis,encrasicolus,22,Engraulidae Engraulis encrasicolus 22,22,27,species,139,fb,TL,spe-LME,2.980999947,0.00654
Engraulidae,Engraulis,encrasicolus,21,Engraulidae Engraulis encrasicolus 21,22,27,species,139,fb,TL,spe-LME,2.980999947,0.00654
Zoarcidae,Lycodes,esmarkii,20,Zoarcidae Lycodes esmarkii 20,22,27,species,232,fb,TL,spe-FAO,4.095699787,1.00E-04
Zoarcidae,Lycodes,esmarkii,21,Zoarcidae Lycodes esmarkii 21,22,27,species,232,fb,TL,spe-FAO,4.095699787,1.00E-04
Zoarcidae,Lycodes,esmarkii,22,Zoarcidae Lycodes esmarkii 22,22,27,species,232,fb,TL,spe-FAO,4.095699787,1.00E-04
Gadidae,Trisopterus,esmarkii,20,Gadidae Trisopterus esmarkii 20,22,27,species,139,fb,TL,spe-LME,3,0.0068
